SCHOOL ID,SCHOOL NAME,GRADE,YEAR,READ-WARNING,READ-NOTMEET,READ-MEET,READ-EXCEED,MATH-WARNING,MATH-NOTMEET,MATH-MEET,MATH-EXCEED
1501629900025,KENWOOD ACADEMY HIGH SCHOOL      ,8,2000,0,0,54,46,0,8,72,20
1501629900025,KENWOOD ACADEMY HIGH SCHOOL      ,8,2001,0,3,76,21,0,1,64,34
1501629900025,KENWOOD ACADEMY HIGH SCHOOL      ,8,2002,0,0,71,29,0,5.8,69.6,24.6
1501629900025,KENWOOD ACADEMY HIGH SCHOOL      ,8,2003,0,1.5,78.8,19.7,.b,.b,.b,.b
1501629900025,KENWOOD ACADEMY HIGH SCHOOL      ,8,2004,0,0,60.9,39.1,0,4.7,71.9,23.4
1501629900025,KENWOOD ACADEMY HIGH SCHOOL      ,8,2005,0,2.2,77.8,20,0,2.2,60,37.8
1501629900025,KENWOOD ACADEMY HIGH SCHOOL      ,8,2006,0,0,82.6,17.4,0,0,52.2,47.8
1501629900025,KENWOOD ACADEMY HIGH SCHOOL      ,8,2007,0,4.3,78.3,17.4,0,0,65.2,34.8
1501629900025,KENWOOD ACADEMY HIGH SCHOOL      ,8,2008,0,0,78.9,21.1,0,0,33.8,66.2
1501629900025,KENWOOD ACADEMY HIGH SCHOOL      ,8,2009,54.6,35.6,0,0,74.6,9,0,0
1501629900025,KENWOOD ACADEMY HIGH SCHOOL      ,8,2010,0,0,82.4,17.6,0,0,27,73
1501629900025,KENWOOD ACADEMY HIGH SCHOOL      ,8,2011,0,0,84.9,15.1,0,0,40.6,59.4
1501629900025,KENWOOD ACADEMY HIGH SCHOOL      ,8,2012,0,0,78.2,21.8,0,0,36.8,63.2
1501629900025,KENWOOD ACADEMY HIGH SCHOOL      ,8,2013,0,1.1,52.3,46.6,0,6.8,70.5,22.7
1501629900025,KENWOOD ACADEMY HIGH SCHOOL      ,8,2014,0,14.3,66.9,18.8,0,6,79.7,14.3
1501629900026,LAKE VIEW HIGH SCHOOL            ,8,2013,.b,.b,.b,.b,.b,.b,.b,.b
1501629900027,LANE TECHNICAL HIGH SCHOOL       ,7,2012,0,0,17.3,82.7,0,0,3.7,96.3
1501629900027,LANE TECHNICAL HIGH SCHOOL       ,7,2014,0,0,33,67,0,0,29.7,70.3
1501629900027,LANE TECHNICAL HIGH SCHOOL       ,8,2013,0,0,22.7,77.3,0,0,26.4,73.6
1501629900027,LANE TECHNICAL HIGH SCHOOL       ,8,2014,0,2,35.7,62.2,0,2,19.4,78.6
1501629900028,LINDBLOM TECHNICAL HIGH SCHOOL          ,8,1997,.a,73,26,1,.a,36,64,0
1501629900028,LINDBLOM TECHNICAL HIGH SCHOOL          ,8,1998,.a,47,48,4,.a,43,55,2
1501629900028,LINDBLOM TECHNICAL HIGH SCHOOL   ,8,1999,0,18,70,13,5,65,30,0
1501629900028,LINDBLOM COLLEGE PREP            ,8,2000,0,19,73,8,2,81,16,2
1501629900028,LINDBLOM COLLEGE PREPARATORY HS  ,8,2001,0,17,81,2,0,44,53,3
1501629900028,LINDBLOM COLLEGE PREPARATORY HS  ,8,2002,0,8.8,82.5,8.8,0,40.7,59.3,0
1501629900028,LINDBLOM COLLEGE PREPARATORY HS  ,8,2003,0,13.6,84,2.5,.b,.b,.b,.b
150162990002C,ACAD OF COMM & TECH CHARTER HS   ,7,2009,.b,.b,0,50,56.8,20.7,0,47.4
150162990002C,ACAD OF COMM & TECH CHARTER HS   ,7,2010,0,29.3,65.9,4.9,0,39,56.1,4.9
150162990002C,ACT CHARTER HIGH SCHOOL          ,8,2000,0,74,26,0,38,59,3,0
150162990002C,ACAD OF COMM & TECH CHARTER HS   ,8,2001,0,80,20,0,32,66,2,0
150162990002C,ACAD OF COMM & TECH CHARTER HS   ,8,2002,0,65.3,32.7,2,12.2,65.3,20.4,2
150162990002C,ACAD OF COMM & TECH CHARTER HS   ,8,2009,54.6,35.6,0,15.4,74.6,9,0,17.9
150162990002C,ACAD OF COMM & TECH CHARTER HS   ,8,2010,2.5,32.5,57.5,7.5,2.5,25,62.5,10
1501629900030,MATHER HIGH SCHOOL               ,8,2013,.b,.b,.b,.b,.b,.b,.b,.b
1501629900031,MORGAN PARK HIGH SCHOOL          ,7,2006,0,0,62.3,37.7,0,0,39,61
1501629900031,MORGAN PARK HIGH SCHOOL          ,7,2007,0,0,55.8,44.2,0,0,39,61
1501629900031,MORGAN PARK HIGH SCHOOL          ,7,2008,0,0,48.1,51.9,0,0,25.9,74.1
1501629900031,MORGAN PARK HIGH SCHOOL          ,7,2009,.b,.b,0,0,56.8,20.7,0,0
1501629900031,MORGAN PARK HIGH SCHOOL          ,7,2010,0,0,47.7,52.3,0,0,32.3,67.7
1501629900031,MORGAN PARK HIGH SCHOOL          ,7,2011,0,0,52.3,47.7,0,2.3,50,47.7
1501629900031,MORGAN PARK HIGH SCHOOL          ,7,2012,0,0,73.1,26.9,0,0,40.3,59.7
1501629900031,MORGAN PARK HIGH SCHOOL          ,7,2013,0,0,53.3,46.7,0,2.2,91.1,6.7
1501629900031,MORGAN PARK HIGH SCHOOL          ,7,2014,0,6.1,63.3,30.6,0,12.2,83.7,4.1
1501629900031,MORGAN PARK HIGH SCHOOL                 ,8,1997,.a,6,59,36,.a,0,57,43
1501629900031,MORGAN PARK HIGH SCHOOL                 ,8,1998,.a,2,55,43,.a,0,51,49
1501629900031,MORGAN PARK HIGH SCHOOL          ,8,1999,0,1,49,50,0,9,75,15
1501629900031,MORGAN PARK HIGH SCHOOL          ,8,2000,0,0,48,52,0,5,76,19
1501629900031,MORGAN PARK HIGH SCHOOL          ,8,2001,0,0,66,34,0,5,70,25
1501629900031,MORGAN PARK HIGH SCHOOL          ,8,2002,0,0,85.2,14.8,0,11.4,75.6,13
1501629900031,MORGAN PARK HIGH SCHOOL          ,8,2003,0,0,71.4,28.6,.b,.b,.b,.b
1501629900031,MORGAN PARK HIGH SCHOOL          ,8,2004,0,0.8,78,21.1,0,4.9,77.2,17.9
1501629900031,MORGAN PARK HIGH SCHOOL          ,8,2005,0,0,74.3,25.7,0,2.7,75.2,22.1
